;quantile;alpha_bps_per_day;t_alpha;beta_Mkt_RF;t_Mkt_RF;beta_SMB;t_SMB;beta_HML;t_HML;beta_RMW;t_RMW;beta_CMA;t_CMA;beta_Mom;t_Mom;obs
Country Cross Section — America;1;7,72;11,04;0,05;1,55;0,02;1,05;0,01;0,18;-0,10;-2,95;0,03;1,23;0,07;4,82;3892
Country Cross Section — America;2;0,49;0,73;0,12;8,50;0,01;0,24;0,04;1,91;0,00;-0,19;0,02;0,51;0,03;2,58;3892
Country Cross Section — America;3;0,74;1,19;0,16;10,17;0,03;2,22;0,06;3,23;-0,03;-1,60;-0,05;-2,03;0,02;1,59;3892
Industries — U.S;1;3,66;4,09;0,23;4,84;0,04;1,64;-0,04;-1,25;0,00;-0,02;0,08;2,37;0,10;4,62;3892
Industries — U.S;2;-0,58;-0,61;0,25;8,15;-0,05;-2,20;0,03;1,06;0,10;2,31;0,03;0,70;0,04;1,38;3892
Industries — U.S;3;0,11;0,11;0,11;3,07;0,02;0,64;-0,14;-4,05;0,03;0,72;-0,09;-1,90;-0,04;-1,72;3892
Sectors — U.S;1;2,76;3,35;0,45;9,05;0,02;0,79;0,00;0,00;0,06;1,15;0,12;2,69;0,05;2,11;3892
Sectors — U.S;2;-1,36;-1,25;0,46;7,12;-0,13;-4,29;0,05;1,10;0,11;1,90;0,16;2,91;0,08;2,32;3892
Sectors — U.S;3;0,09;0,09;0,27;6,42;-0,05;-1,61;-0,15;-4,03;0,22;4,37;-0,04;-0,59;-0,13;-4,64;3892
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Country Cross Section -- America;;;Industries -- U.S;;;Sectors -- U.S;;;;;;;;;
Quantile;1;2;3;1;2;3;1;2;3;;;;;;;
alpha_bps_per_day;7,72;0,49;0,74;3,66;-0,58;0,11;2,76;-1,36;0,09;;;;;;;
t_alpha;11,04;0,73;1,19;4,09;-0,61;0,11;3,35;-1,25;0,09;;;;;;;
beta_Mkt_RF;0,05;0,12;0,16;0,23;0,25;0,11;0,45;0,46;0,27;;;;;;;
t_Mkt_RF;1,55;8,50;10,17;4,84;8,15;3,07;9,05;7,12;6,42;;;;;;;
beta_SMB;0,02;0,01;0,03;0,04;-0,05;0,02;0,02;-0,13;-0,05;;;;;;;
t_SMB;1,05;0,24;2,22;1,64;-2,20;0,64;0,79;-4,29;-1,61;;;;;;;
beta_HML;0,01;0,04;0,06;-0,04;0,03;-0,14;0,00;0,05;-0,15;;;;;;;
t_HML;0,18;1,91;3,23;-1,25;1,06;-4,05;0,00;1,10;-4,03;;;;;;;
beta_RMW;-0,10;0,00;-0,03;0,00;0,10;0,03;0,06;0,11;0,22;;;;;;;
t_RMW;-2,95;-0,19;-1,60;-0,02;2,31;0,72;1,15;1,90;4,37;;;;;;;
beta_CMA;0,03;0,02;-0,05;0,08;0,03;-0,09;0,12;0,16;-0,04;;;;;;;
t_CMA;1,23;0,51;-2,03;2,37;0,70;-1,90;2,69;2,91;-0,59;;;;;;;
beta_Mom;0,07;0,03;0,02;0,10;0,04;-0,04;0,05;0,08;-0,13;;;;;;;
t_Mom;4,82;2,58;1,59;4,62;1,38;-1,72;2,11;2,32;-4,64;;;;;;;
Total OBS;3892;3892;3892;3892;3892;3892;3892;3892;3892;;;;;;;
