;;;;;;;;;
;Country Cross Section -- Asia;;;Industries -- Emerging Markets;;;Sectors -- Asia;;
Quantile;1;2;3;1;2;3;1;2;3
alpha_bps_per_day;3,87;0,44;0,11;4,30;-0,50;-0,44;3,51;0,32;-0,59
t_alpha;6,22;0,71;0,18;4,03;-0,53;-0,43;3,02;0,27;-0,41
beta_Mkt_RF;0,01;0,06;0,03;0,00;0,08;0,02;0,07;0,12;-0,03
t_Mkt_RF;0,74;5,38;2,55;0,10;4,57;0,64;3,99;5,10;-0,80
beta_SMB;0,02;-0,03;-0,01;0,07;-0,03;0,05;0,08;-0,05;0,03
t_SMB;1,41;-1,41;-0,50;2,89;-1,58;2,06;2,78;-1,59;0,76
beta_HML;0,01;0,05;0,01;-0,03;0,05;-0,01;0,06;0,13;-0,12
t_HML;0,79;2,80;0,74;-0,68;2,21;-0,32;1,93;3,30;-2,27
beta_RMW;-0,02;-0,02;-0,03;-0,03;-0,02;-0,08;0,07;0,03;-0,21
t_RMW;-0,81;-1,02;-1,35;-0,81;-0,69;-2,14;1,48;0,65;-3,58
beta_CMA;-0,02;-0,01;-0,02;0,04;0,00;-0,05;0,02;-0,09;-0,05
t_CMA;-0,82;-0,48;-1,11;0,90;-0,05;-1,30;0,35;-1,96;-0,81
beta_Mom;0,02;0,00;0,00;0,08;0,03;0,03;0,09;0,03;-0,03
t_Mom;2,13;-0,47;0,55;4,17;1,87;1,71;5,09;1,62;-1,28
obs;3892;3892;3892;3892;3892;3892;3892;3892;3892
