;;;;;;;;;
;Country Cross Section -- EMEA;;;Industries -- Europe;;;Secteur --  Europe;;
quantile;1;2;3;1;2;3;1;2;3
alpha_bps_per_day;3,58;-0,29;1,17;4,57;-0,03;-0,35;4,02;-0,55;-0,29
t_alpha;6,02;-0,50;2,02;3,28;-0,04;-0,37;3,67;-0,45;-0,26
beta_Mkt_RF;0,02;0,04;0,01;0,09;0,07;0,02;0,08;0,06;-0,01
t_Mkt_RF;0,92;3,11;1,00;2,62;2,91;0,83;1,77;1,84;-0,36
beta_SMB;0,01;-0,01;0,01;0,02;-0,01;0,04;-0,01;-0,03;-0,01
t_SMB;0,63;-0,47;0,70;0,52;-0,41;1,61;-0,34;-0,74;-0,41
beta_HML;0,00;0,03;-0,01;0,00;0,06;-0,06;-0,04;0,02;-0,11
t_HML;0,01;1,43;-0,36;-0,15;1,51;-1,71;-0,89;0,48;-2,76
beta_RMW;-0,02;0,01;-0,01;-0,09;0,07;-0,01;-0,09;0,01;0,03
t_RMW;-0,86;0,25;-0,31;-1,87;1,68;-0,33;-1,81;0,11;0,50
beta_CMA;0,03;-0,01;-0,02;0,10;0,00;-0,04;0,08;-0,01;-0,08
t_CMA;1,14;-0,55;-0,60;2,13;0,09;-0,71;1,69;-0,24;-1,40
beta_Mom;0,04;-0,02;0,00;0,07;0,03;0,03;0,07;-0,04;0,00
t_Mom;2,68;-1,19;-0,23;3,07;1,01;1,20;2,69;-1,39;0,09
obs;3892;3892;3892;3892;3892;3892;3892;3892;3892
